"epsilon","n_samples","power_LLR","power_ddcLLR","power_ncLLR","power_KS","power_Cramer"
0.5,100,0.156,0.044,0.073,0.063,0.046
0.5,1600,0.711,0.661,0.496,0.14,0.037
0.5,200,0.189,0.118,0.084,0.093,0.062
0.5,3200,0.906,0.887,0.812,0.213,0.058
0.5,400,0.255,0.178,0.106,0.105,0.043
0.5,800,0.433,0.325,0.197,0.099,0.046
1,100,0.117,0.091,0.085,0.065,0.064
1,1600,0.679,0.641,0.43,0.189,0.043
1,200,0.168,0.121,0.084,0.08,0.051
1,3200,0.887,0.858,0.81,0.188,0.048
1,400,0.243,0.196,0.092,0.087,0.05
1,800,0.408,0.359,0.208,0.112,0.048
2,100,0.126,0.102,0.066,0.081,0.059
2,1600,0.679,0.675,0.471,0.151,0.041
2,200,0.147,0.16,0.069,0.077,0.057
2,3200,0.919,0.919,0.821,0.158,0.054
2,400,0.269,0.24,0.098,0.101,0.058
2,800,0.42,0.406,0.22,0.131,0.051
