"epsilon","n_samples","mu1","power_MLR","power_ddcMLR","power_KS","power_Cramer"
0.5,100,0,0.053,0.048,0.05,0.039
0.5,100,0.03,0.113,0.045,0.068,0.075
0.5,100,0.05,0.108,0.043,0.089,0.053
0.5,100,0.1,0.267,0.039,0.212,0.14
0.5,100,0.2,0.644,0.052,0.471,0.318
0.5,100,0.4,0.985,0.064,0.93,0.893
0.5,1600,0,0.05,0.049,0.058,0.049
0.5,1600,0.03,0.29,0.26,0.267,0.18
0.5,1600,0.05,0.65,0.557,0.49,0.44
0.5,1600,0.1,0.99,0.977,0.965,0.973
0.5,1600,0.2,1,1,1,1
0.5,1600,0.4,1,1,1,1
0.5,200,0,0.065,0.05,0.074,0.066
0.5,200,0.03,0.103,0.073,0.121,0.059
0.5,200,0.05,0.174,0.104,0.158,0.094
0.5,200,0.1,0.374,0.222,0.302,0.233
0.5,200,0.2,0.864,0.466,0.776,0.687
0.5,200,0.4,1,0.958,0.999,0.997
0.5,3200,0,0.04,0.038,0.054,0.052
0.5,3200,0.03,0.51,0.48,0.439,0.367
0.5,3200,0.05,0.902,0.874,0.803,0.74
0.5,3200,0.1,1,1,1,1
0.5,3200,0.2,1,1,1,1
0.5,3200,0.4,1,1,1,1
0.5,400,0,0.049,0.038,0.035,0.048
0.5,400,0.03,0.118,0.107,0.112,0.089
0.5,400,0.05,0.255,0.168,0.226,0.115
0.5,400,0.1,0.652,0.459,0.512,0.428
0.5,400,0.2,0.986,0.934,0.959,0.948
0.5,400,0.4,1,1,1,1
0.5,800,0,0.06,0.052,0.049,0.034
0.5,800,0.03,0.209,0.192,0.201,0.123
0.5,800,0.05,0.427,0.365,0.342,0.244
0.5,800,0.1,0.887,0.763,0.792,0.773
0.5,800,0.2,1,0.999,0.999,0.999
0.5,800,0.4,1,1,1,1
1,100,0,0.041,0.035,0.046,0.04
1,100,0.03,0.079,0.079,0.075,0.072
1,100,0.05,0.108,0.081,0.117,0.069
1,100,0.1,0.218,0.174,0.152,0.142
1,100,0.2,0.663,0.44,0.545,0.411
1,100,0.4,0.988,0.901,0.951,0.939
1,1600,0,0.066,0.076,0.045,0.059
1,1600,0.03,0.291,0.252,0.289,0.202
1,1600,0.05,0.678,0.671,0.547,0.462
1,1600,0.1,0.985,0.987,0.973,0.973
1,1600,0.2,1,1,1,1
1,1600,0.4,1,1,1,1
1,200,0,0.049,0.047,0.07,0.056
1,200,0.03,0.106,0.093,0.123,0.074
1,200,0.05,0.159,0.166,0.136,0.113
1,200,0.1,0.376,0.337,0.334,0.273
1,200,0.2,0.866,0.719,0.76,0.721
1,200,0.4,1,1,1,1
1,3200,0,0.064,0.057,0.061,0.063
1,3200,0.03,0.58,0.571,0.422,0.324
1,3200,0.05,0.887,0.871,0.815,0.727
1,3200,0.1,1,1,0.998,1
1,3200,0.2,1,1,1,1
1,3200,0.4,1,1,1,1
1,400,0,0.053,0.056,0.051,0.058
1,400,0.03,0.149,0.116,0.154,0.091
1,400,0.05,0.251,0.239,0.188,0.155
1,400,0.1,0.606,0.549,0.486,0.428
1,400,0.2,0.994,0.985,0.969,0.961
1,400,0.4,1,1,1,1
1,800,0,0.046,0.046,0.053,0.07
1,800,0.03,0.175,0.195,0.171,0.136
1,800,0.05,0.304,0.286,0.321,0.254
1,800,0.1,0.885,0.858,0.761,0.764
1,800,0.2,1,0.999,0.999,0.999
1,800,0.4,1,1,1,1
2,100,0,0.053,0.054,0.046,0.043
2,100,0.03,0.087,0.071,0.063,0.05
2,100,0.05,0.118,0.127,0.118,0.094
2,100,0.1,0.238,0.207,0.277,0.154
2,100,0.2,0.648,0.501,0.485,0.482
2,100,0.4,0.991,0.973,0.963,0.963
2,1600,0,0.051,0.048,0.052,0.087
2,1600,0.03,0.327,0.31,0.252,0.188
2,1600,0.05,0.635,0.615,0.562,0.469
2,1600,0.1,0.997,0.996,0.977,0.971
2,1600,0.2,1,1,1,1
2,1600,0.4,1,1,1,1
2,200,0,0.038,0.039,0.057,0.059
2,200,0.03,0.14,0.124,0.121,0.066
2,200,0.05,0.161,0.169,0.178,0.104
2,200,0.1,0.4,0.367,0.356,0.268
2,200,0.2,0.906,0.895,0.8,0.771
2,200,0.4,1,1,1,1
2,3200,0,0.038,0.043,0.072,0.055
2,3200,0.03,0.459,0.46,0.424,0.373
2,3200,0.05,0.821,0.828,0.808,0.761
2,3200,0.1,1,1,0.999,1
2,3200,0.2,1,1,1,1
2,3200,0.4,1,1,1,1
2,400,0,0.045,0.051,0.046,0.039
2,400,0.03,0.153,0.179,0.122,0.068
2,400,0.05,0.257,0.247,0.234,0.176
2,400,0.1,0.608,0.552,0.521,0.47
2,400,0.2,0.993,0.992,0.957,0.954
2,400,0.4,1,1,1,1
2,800,0,0.041,0.048,0.056,0.054
2,800,0.03,0.207,0.199,0.167,0.124
2,800,0.05,0.446,0.431,0.328,0.257
2,800,0.1,0.893,0.892,0.734,0.768
2,800,0.2,1,1,0.997,0.997
2,800,0.4,1,1,1,1
