"epsilon","n_samples","mu1","power_MLR","power_ddcMLR","power_KS","power_Cramer","power_KS_Kuiper"
0.5,100,-0.05,0.071,0.07,0.067,0.069,0.065
0.5,100,-0.1,0.086,0.061,0.07,0.07,0.058
0.5,100,-0.2,0.227,0.053,0.145,0.113,0.066
0.5,100,0,0.05,0.051,0.051,0.04,0.043
0.5,100,0.05,0.064,0.071,0.062,0.056,0.063
0.5,100,0.1,0.095,0.056,0.062,0.062,0.047
0.5,100,0.2,0.227,0.053,0.161,0.116,0.062
0.5,1600,-0.05,0.179,0.155,0.105,0.083,0.065
0.5,1600,-0.1,0.557,0.51,0.384,0.165,0.041
0.5,1600,-0.2,0.989,0.972,0.938,0.767,0.124
0.5,1600,0,0.018,0.029,0.054,0.042,0.046
0.5,1600,0.05,0.178,0.149,0.111,0.078,0.057
0.5,1600,0.1,0.576,0.533,0.462,0.216,0.073
0.5,1600,0.2,0.995,0.984,0.955,0.753,0.141
0.5,200,-0.05,0.059,0.054,0.058,0.062,0.06
0.5,200,-0.1,0.138,0.084,0.074,0.07,0.06
0.5,200,-0.2,0.33,0.187,0.228,0.176,0.048
0.5,200,0,0.048,0.044,0.065,0.057,0.052
0.5,200,0.05,0.067,0.065,0.056,0.055,0.053
0.5,200,0.1,0.109,0.097,0.117,0.077,0.069
0.5,200,0.2,0.32,0.208,0.208,0.181,0.087
0.5,3200,-0.05,0.364,0.36,0.262,0.061,0.06
0.5,3200,-0.1,0.89,0.874,0.7,0.25,0.105
0.5,3200,-0.2,1,1,0.996,0.954,0.234
0.5,3200,0,0.04,0.047,0.042,0.053,0.037
0.5,3200,0.05,0.339,0.323,0.228,0.08,0.047
0.5,3200,0.1,0.862,0.839,0.721,0.243,0.086
0.5,3200,0.2,1,1,0.998,0.929,0.224
0.5,400,-0.05,0.079,0.078,0.078,0.06,0.037
0.5,400,-0.1,0.202,0.159,0.161,0.101,0.064
0.5,400,-0.2,0.571,0.427,0.454,0.332,0.062
0.5,400,0,0.052,0.047,0.05,0.046,0.042
0.5,400,0.05,0.077,0.068,0.072,0.069,0.054
0.5,400,0.1,0.166,0.136,0.135,0.096,0.053
0.5,400,0.2,0.571,0.442,0.416,0.312,0.089
0.5,800,-0.05,0.136,0.118,0.097,0.068,0.046
0.5,800,-0.1,0.329,0.305,0.21,0.122,0.06
0.5,800,-0.2,0.889,0.836,0.711,0.505,0.077
0.5,800,0,0.049,0.063,0.043,0.054,0.047
0.5,800,0.05,0.1,0.084,0.071,0.079,0.038
0.5,800,0.1,0.35,0.296,0.229,0.153,0.081
0.5,800,0.2,0.873,0.793,0.691,0.529,0.123
1,100,-0.05,0.054,0.072,0.055,0.057,0.034
1,100,-0.1,0.084,0.082,0.054,0.059,0.042
1,100,-0.2,0.206,0.159,0.146,0.146,0.068
1,100,0,0.057,0.074,0.039,0.04,0.037
1,100,0.05,0.053,0.071,0.051,0.052,0.047
1,100,0.1,0.083,0.086,0.055,0.075,0.058
1,100,0.2,0.201,0.151,0.134,0.132,0.086
1,1600,-0.05,0.208,0.226,0.133,0.07,0.064
1,1600,-0.1,0.626,0.608,0.369,0.208,0.082
1,1600,-0.2,0.993,0.992,0.945,0.777,0.135
1,1600,0,0.049,0.051,0.054,0.047,0.053
1,1600,0.05,0.216,0.243,0.173,0.087,0.047
1,1600,0.1,0.605,0.606,0.424,0.206,0.066
1,1600,0.2,0.993,0.994,0.951,0.735,0.111
1,200,-0.05,0.075,0.077,0.061,0.056,0.06
1,200,-0.1,0.107,0.116,0.096,0.099,0.064
1,200,-0.2,0.342,0.308,0.243,0.228,0.081
1,200,0,0.045,0.048,0.056,0.074,0.052
1,200,0.05,0.067,0.072,0.048,0.055,0.044
1,200,0.1,0.134,0.116,0.113,0.089,0.056
1,200,0.2,0.358,0.289,0.224,0.218,0.085
1,3200,-0.05,0.389,0.347,0.246,0.097,0.045
1,3200,-0.1,0.885,0.859,0.687,0.247,0.066
1,3200,-0.2,1,1,0.999,0.962,0.205
1,3200,0,0.052,0.045,0.049,0.05,0.057
1,3200,0.05,0.352,0.322,0.231,0.098,0.043
1,3200,0.1,0.889,0.868,0.684,0.323,0.071
1,3200,0.2,1,1,0.998,0.927,0.181
1,400,-0.05,0.091,0.098,0.065,0.062,0.039
1,400,-0.1,0.166,0.187,0.122,0.104,0.062
1,400,-0.2,0.566,0.536,0.447,0.317,0.091
1,400,0,0.049,0.078,0.048,0.053,0.04
1,400,0.05,0.083,0.098,0.061,0.074,0.041
1,400,0.1,0.16,0.166,0.133,0.121,0.046
1,400,0.2,0.595,0.586,0.435,0.34,0.072
1,800,-0.05,0.087,0.107,0.099,0.065,0.047
1,800,-0.1,0.321,0.326,0.224,0.162,0.079
1,800,-0.2,0.845,0.847,0.741,0.547,0.099
1,800,0,0.034,0.045,0.039,0.05,0.037
1,800,0.05,0.104,0.111,0.107,0.059,0.064
1,800,0.1,0.302,0.312,0.273,0.143,0.05
1,800,0.2,0.853,0.837,0.686,0.517,0.107
2,100,-0.05,0.049,0.055,0.064,0.067,0.063
2,100,-0.1,0.089,0.083,0.095,0.081,0.06
2,100,-0.2,0.211,0.202,0.125,0.139,0.056
2,100,0,0.055,0.053,0.068,0.053,0.06
2,100,0.05,0.056,0.052,0.051,0.048,0.066
2,100,0.1,0.088,0.086,0.089,0.064,0.026
2,100,0.2,0.218,0.185,0.183,0.158,0.057
2,1600,-0.05,0.187,0.17,0.138,0.083,0.056
2,1600,-0.1,0.594,0.564,0.39,0.237,0.081
2,1600,-0.2,0.993,0.992,0.949,0.792,0.145
2,1600,0,0.052,0.04,0.052,0.054,0.043
2,1600,0.05,0.215,0.196,0.148,0.072,0.051
2,1600,0.1,0.623,0.597,0.381,0.213,0.069
2,1600,0.2,0.994,0.992,0.942,0.757,0.158
2,200,-0.05,0.069,0.066,0.056,0.049,0.034
2,200,-0.1,0.13,0.115,0.084,0.104,0.068
2,200,-0.2,0.342,0.3,0.263,0.237,0.078
2,200,0,0.061,0.049,0.046,0.058,0.072
2,200,0.05,0.072,0.062,0.062,0.058,0.059
2,200,0.1,0.13,0.107,0.095,0.082,0.049
2,200,0.2,0.356,0.319,0.259,0.272,0.056
2,3200,-0.05,0.352,0.351,0.253,0.089,0.055
2,3200,-0.1,0.866,0.86,0.677,0.272,0.059
2,3200,-0.2,1,1,0.998,0.936,0.208
2,3200,0,0.036,0.04,0.048,0.044,0.04
2,3200,0.05,0.3,0.298,0.241,0.094,0.055
2,3200,0.1,0.841,0.844,0.689,0.287,0.081
2,3200,0.2,1,1,0.997,0.953,0.212
2,400,-0.05,0.062,0.063,0.069,0.051,0.044
2,400,-0.1,0.153,0.158,0.154,0.118,0.066
2,400,-0.2,0.563,0.575,0.427,0.342,0.092
2,400,0,0.028,0.035,0.04,0.051,0.048
2,400,0.05,0.059,0.056,0.065,0.056,0.063
2,400,0.1,0.19,0.198,0.153,0.106,0.069
