"epsilon","n_samples","mu1","power_MLR","power_ddcMLR"
0.5,100,0,0.053,0.048
0.5,200,0,0.065,0.05
0.5,400,0,0.049,0.038
0.5,800,0,0.06,0.052
0.5,1600,0,0.05,0.049
0.5,3200,0,0.04,0.038
0.5,100,0.03,0.113,0.045
0.5,200,0.03,0.103,0.073
0.5,400,0.03,0.118,0.107
0.5,800,0.03,0.209,0.192
0.5,1600,0.03,0.29,0.26
0.5,3200,0.03,0.51,0.48
0.5,100,0.05,0.108,0.043
0.5,200,0.05,0.174,0.104
0.5,400,0.05,0.255,0.168
0.5,800,0.05,0.427,0.365
0.5,1600,0.05,0.65,0.557
0.5,3200,0.05,0.902,0.874
0.5,100,0.1,0.267,0.039
0.5,200,0.1,0.374,0.222
0.5,400,0.1,0.652,0.459
0.5,800,0.1,0.887,0.763
0.5,1600,0.1,0.99,0.977
0.5,3200,0.1,1,1
0.5,100,0.2,0.644,0.052
0.5,200,0.2,0.864,0.466
0.5,400,0.2,0.986,0.934
0.5,800,0.2,1,0.999
0.5,1600,0.2,1,1
0.5,3200,0.2,1,1
0.5,100,0.4,0.985,0.064
0.5,200,0.4,1,0.958
0.5,400,0.4,1,1
0.5,800,0.4,1,1
0.5,1600,0.4,1,1
0.5,3200,0.4,1,1
1,100,0,0.041,0.035
1,200,0,0.049,0.047
1,400,0,0.053,0.056
1,800,0,0.046,0.046
1,1600,0,0.066,0.076
1,3200,0,0.064,0.057
1,100,0.03,0.079,0.079
1,200,0.03,0.106,0.093
1,400,0.03,0.149,0.116
1,800,0.03,0.175,0.195
1,1600,0.03,0.291,0.252
1,3200,0.03,0.58,0.571
1,100,0.05,0.108,0.081
1,200,0.05,0.159,0.166
1,400,0.05,0.251,0.239
1,800,0.05,0.304,0.286
1,1600,0.05,0.678,0.671
1,3200,0.05,0.887,0.871
1,100,0.1,0.218,0.174
1,200,0.1,0.376,0.337
1,400,0.1,0.606,0.549
1,800,0.1,0.885,0.858
1,1600,0.1,0.985,0.987
1,3200,0.1,1,1
1,100,0.2,0.663,0.44
1,200,0.2,0.866,0.719
1,400,0.2,0.994,0.985
1,800,0.2,1,0.999
1,1600,0.2,1,1
1,3200,0.2,1,1
1,100,0.4,0.988,0.901
1,200,0.4,1,1
1,400,0.4,1,1
1,800,0.4,1,1
1,1600,0.4,1,1
1,3200,0.4,1,1
2,100,0,0.053,0.054
2,200,0,0.038,0.039
2,400,0,0.045,0.051
2,800,0,0.041,0.048
2,1600,0,0.051,0.048
2,3200,0,0.038,0.043
2,100,0.03,0.087,0.071
2,200,0.03,0.14,0.124
2,400,0.03,0.153,0.179
2,800,0.03,0.207,0.199
2,1600,0.03,0.327,0.31
2,3200,0.03,0.459,0.46
2,100,0.05,0.118,0.127
2,200,0.05,0.161,0.169
2,400,0.05,0.257,0.247
2,800,0.05,0.446,0.431
2,1600,0.05,0.635,0.615
2,3200,0.05,0.821,0.828
2,100,0.1,0.238,0.207
2,200,0.1,0.4,0.367
2,400,0.1,0.608,0.552
2,800,0.1,0.893,0.892
2,1600,0.1,0.997,0.996
2,3200,0.1,1,1
2,100,0.2,0.648,0.501
2,200,0.2,0.906,0.895
2,400,0.2,0.993,0.992
2,800,0.2,1,1
2,1600,0.2,1,1
2,3200,0.2,1,1
2,100,0.4,0.991,0.973
2,200,0.4,1,1
2,400,0.4,1,1
2,800,0.4,1,1
2,1600,0.4,1,1
2,3200,0.4,1,1
