"epsilon","n_samples","mu1","power_MLR","power_ddcMLR"
0.5,100,-0.2,0.227,0.053
0.5,100,-0.1,0.086,0.061
0.5,100,-0.05,0.071,0.07
0.5,100,0,0.05,0.051
0.5,100,0.05,0.064,0.071
0.5,100,0.1,0.095,0.056
0.5,100,0.2,0.227,0.053
0.5,200,-0.2,0.33,0.187
0.5,200,-0.1,0.138,0.084
0.5,200,-0.05,0.059,0.054
0.5,200,0,0.048,0.044
0.5,200,0.05,0.067,0.065
0.5,200,0.1,0.109,0.097
0.5,200,0.2,0.32,0.208
0.5,400,-0.2,0.571,0.427
0.5,400,-0.1,0.202,0.159
0.5,400,-0.05,0.079,0.078
0.5,400,0,0.052,0.047
0.5,400,0.05,0.077,0.068
0.5,400,0.1,0.166,0.136
0.5,400,0.2,0.571,0.442
0.5,800,-0.2,0.889,0.836
0.5,800,-0.1,0.329,0.305
0.5,800,-0.05,0.136,0.118
0.5,800,0,0.049,0.063
0.5,800,0.05,0.1,0.084
0.5,800,0.1,0.35,0.296
0.5,800,0.2,0.873,0.793
0.5,1600,-0.2,0.989,0.972
0.5,1600,-0.1,0.557,0.51
0.5,1600,-0.05,0.179,0.155
0.5,1600,0,0.018,0.029
0.5,1600,0.05,0.178,0.149
0.5,1600,0.1,0.576,0.533
0.5,1600,0.2,0.995,0.984
0.5,3200,-0.2,1,1
0.5,3200,-0.1,0.89,0.874
0.5,3200,-0.05,0.364,0.36
0.5,3200,0,0.04,0.047
0.5,3200,0.05,0.339,0.323
0.5,3200,0.1,0.862,0.839
0.5,3200,0.2,1,1
1,100,-0.2,0.206,0.159
1,100,-0.1,0.084,0.082
1,100,-0.05,0.054,0.072
1,100,0,0.057,0.074
1,100,0.05,0.053,0.071
1,100,0.1,0.083,0.086
1,100,0.2,0.201,0.151
1,200,-0.2,0.342,0.308
1,200,-0.1,0.107,0.116
1,200,-0.05,0.075,0.077
1,200,0,0.045,0.048
1,200,0.05,0.067,0.072
1,200,0.1,0.134,0.116
1,200,0.2,0.358,0.289
1,400,-0.2,0.566,0.536
1,400,-0.1,0.166,0.187
1,400,-0.05,0.091,0.098
1,400,0,0.049,0.078
1,400,0.05,0.083,0.098
1,400,0.1,0.16,0.166
1,400,0.2,0.595,0.586
1,800,-0.2,0.845,0.847
1,800,-0.1,0.321,0.326
1,800,-0.05,0.087,0.107
1,800,0,0.034,0.045
1,800,0.05,0.104,0.111
1,800,0.1,0.302,0.312
1,800,0.2,0.853,0.837
1,1600,-0.2,0.993,0.992
1,1600,-0.1,0.626,0.608
1,1600,-0.05,0.208,0.226
1,1600,0,0.049,0.051
1,1600,0.05,0.216,0.243
1,1600,0.1,0.605,0.606
1,1600,0.2,0.993,0.994
1,3200,-0.2,1,1
1,3200,-0.1,0.885,0.859
1,3200,-0.05,0.389,0.347
1,3200,0,0.052,0.045
1,3200,0.05,0.352,0.322
1,3200,0.1,0.889,0.868
1,3200,0.2,1,1
2,100,-0.2,0.211,0.202
2,100,-0.1,0.089,0.083
2,100,-0.05,0.049,0.055
2,100,0,0.055,0.053
2,100,0.05,0.056,0.052
2,100,0.1,0.088,0.086
2,100,0.2,0.218,0.185
2,200,-0.2,0.342,0.3
2,200,-0.1,0.13,0.115
2,200,-0.05,0.069,0.066
2,200,0,0.061,0.049
2,200,0.05,0.072,0.062
2,200,0.1,0.13,0.107
2,200,0.2,0.356,0.319
2,400,-0.2,0.563,0.575
2,400,-0.1,0.153,0.158
2,400,-0.05,0.062,0.063
2,400,0,0.028,0.035
2,400,0.05,0.059,0.056
2,400,0.1,0.19,0.198
2,400,0.2,0.537,0.538
2,800,-0.2,0.876,0.872
2,800,-0.1,0.33,0.326
2,800,-0.05,0.113,0.104
2,800,0,0.044,0.05
2,800,0.05,0.114,0.115
2,800,0.1,0.337,0.344
2,800,0.2,0.881,0.875
2,1600,-0.2,0.993,0.992
2,1600,-0.1,0.594,0.564
2,1600,-0.05,0.187,0.17
2,1600,0,0.052,0.04
2,1600,0.05,0.215,0.196
2,1600,0.1,0.623,0.597
2,1600,0.2,0.994,0.992
2,3200,-0.2,1,1
2,3200,-0.1,0.866,0.86
2,3200,-0.05,0.352,0.351
2,3200,0,0.036,0.04
2,3200,0.05,0.3,0.298
2,3200,0.1,0.841,0.844
2,3200,0.2,1,1
