"epsilon","n_samples","power_LLR","power_ddcLLR","power_ncLLR"
0.5,100,0.156,0.044,0.073
0.5,200,0.189,0.118,0.084
0.5,400,0.255,0.178,0.106
0.5,800,0.433,0.325,0.197
0.5,1600,0.711,0.661,0.496
0.5,3200,0.906,0.887,0.812
1,100,0.117,0.091,0.085
1,200,0.168,0.121,0.084
1,400,0.243,0.196,0.092
1,800,0.408,0.359,0.208
1,1600,0.679,0.641,0.43
1,3200,0.887,0.858,0.81
2,100,0.126,0.102,0.066
2,200,0.147,0.16,0.069
2,400,0.269,0.24,0.098
2,800,0.42,0.406,0.22
2,1600,0.679,0.675,0.471
2,3200,0.919,0.919,0.821
